月,日,星期,,,,,,,,行号,方案号
8,27,3,8,8,8,,1,4,4,6行,方案9
8,27,3,,,,,1,1,1,7行,方案9
8,27,3,5,5,9,9,2,2,,0行,方案10
8,27,3,5,,6,9,9,2,,1行,方案10
8,27,3,5,5,6,6,6,2,2,2行,方案10
8,27,3,3,3,6,0,0,0,4,3行,方案10
8,27,3,1,3,3,3,0,0,4,4行,方案10
8,27,3,1,7,7,7,7,,4,5行,方案10
8,27,3,1,1,1,,8,4,4,6行,方案10
8,27,3,,,,,8,8,8,7行,方案10
8,27,3,5,5,5,6,6,6,,0行,方案11
8,27,3,5,,5,8,6,9,,1行,方案11
8,27,3,3,8,8,8,6,9,9,2行,方案11
8,27,3,3,3,7,7,7,7,9,3行,方案11
8,27,3,1,3,2,4,4,4,4,4行,方案11
8,27,3,1,3,2,2,2,,4,5行,方案11
8,27,3,1,1,1,,2,0,0,6行,方案11
8,27,3,,,,,0,0,0,7行,方案11
8,27,3,3,1,1,1,2,2,,0行,方案12
8,27,3,3,,7,1,6,2,,1行,方案12
8,27,3,3,3,7,1,6,2,2,2行,方案12
8,27,3,9,3,7,6,6,6,4,3行,方案12
8,27,3,9,9,7,0,0,0,4,4行,方案12
8,27,3,5,9,5,0,0,,4,5行,方案12
8,27,3,5,5,5,,8,4,4,6行,方案12
8,27,3,,,,,8,8,8,7行,方案12
8,27,3,5,5,5,3,2,2,,0行,方案13
8,27,3,5,,5,3,6,2,,1行,方案13
8,27,3,7,1,3,3,6,2,2,2行,方案13
8,27,3,7,1,3,6,6,6,4,3行,方案13
8,27,3,7,1,1,1,9,9,4,4行,方案13
8,27,3,7,0,0,9,9,,4,5行,方案13
8,27,3,0,0,0,,8,4,4,6行,方案13
8,27,3,,,,,8,8,8,7行,方案13
8,27,3,4,4,4,4,2,2,,0行,方案14
8,27,3,4,,0,0,0,2,,1行,方案14
8,27,3,3,3,3,0,0,2,2,2行,方案14
8,27,3,7,6,3,3,1,1,1,3行,方案14
8,27,3,7,6,6,6,1,5,5,4行,方案14
8,27,3,7,6,9,9,1,,5,5行,方案14
8,27,3,7,9,9,,8,5,5,6行,方案14
8,27,3,,,,,8,8,8,7行,方案14
8,27,3,7,6,6,6,2,2,,0行,方案15
8,27,3,7,,6,0,0,2,,1行,方案15
8,27,3,7,9,6,0,0,2,2,2行,方案15
8,27,3,7,9,9,5,0,5,4,3行,方案15
8,27,3,3,3,9,5,5,5,4,4行,方案15
8,27,3,8,3,3,3,1,,4,5行,方案15
8,27,3,8,8,8,,1,4,4,6行,方案15
8,27,3,,,,,1,1,1,7行,方案15
8,27,3,4,4,4,4,2,2,,0行,方案16
8,27,3,4,,9,3,1,2,,1行,方案16
8,27,3,7,9,9,3,1,2,2,2行,方案16
8,27,3,7,9,3,3,1,1,1,3行,方案16
8,27,3,7,6,3,0,0,5,5,4行,方案16
8,27,3,7,6,0,0,0,,5,5行,方案16
8,27,3,6,6,6,,8,5,5,6行,方案16
8,27,3,,,,,8,8,8,7行,方案16
8,27,3,5,5,5,9,2,2,,0行,方案17
8,27,3,5,,5,9,9,2,,1行,方案17
8,27,3,7,3,4,4,9,2,2,2行,方案17
8,27,3,7,3,3,4,1,1,1,3行,方案17
8,27,3,7,6,3,4,1,8,8,4行,方案17
8,27,3,7,6,3,4,1,,8,5行,方案17
8,27,3,6,6,6,,0,0,8,6行,方案17
8,27,3,,,,,0,0,0,7行,方案17
8,27,3,5,5,7,7,7,7,,0行,方案18
8,27,3,5,,6,3,3,3,,1行,方案18
8,27,3,5,5,6,6,6,3,3,2行,方案18
8,27,3,4,4,6,2,0,0,0,3行,方案18
8,27,3,4,2,2,2,0,0,8,4行,方案18
8,27,3,4,2,9,9,1,,8,5行,方案18
8,27,3,4,9,9,,1,8,8,6行,方案18
8,27,3,,,,,1,1,1,7行,方案18
8,27,3,5,5,5,9,2,2,,0行,方案19
8,27,3,5,,5,9,9,2,,1行,方案19
8,27,3,7,6,6,6,9,2,2,2行,方案19
8,27,3,7,4,6,3,0,0,0,3行,方案19
8,27,3,7,4,6,3,0,0,8,4行,方案19
8,27,3,7,4,3,3,1,,8,5行,方案19
8,27,3,4,4,3,,1,8,8,6行,方案19
8,27,3,,,,,1,1,1,7行,方案19
8,27,3,5,5,5,9,2,2,,0行,方案20
8,27,3,5,,5,9,9,2,,1行,方案20
8,27,3,7,3,4,4,9,2,2,2行,方案20
8,27,3,7,3,3,4,0,0,0,3行,方案20
8,27,3,7,6,3,4,0,0,8,4行,方案20
8,27,3,7,6,3,4,1,,8,5行,方案20
8,27,3,6,6,6,,1,8,8,6行,方案20
8,27,3,,,,,1,1,1,7行,方案20
8,27,3,5,5,5,9,2,2,,0行,方案21
8,27,3,5,,5,9,9,2,,1行,方案21
8,27,3,7,3,4,4,9,2,2,2行,方案21
8,27,3,7,3,3,4,0,0,0,3行,方案21
8,27,3,7,6,3,4,8,0,0,4行,方案21
8,27,3,7,6,3,4,8,,1,5行,方案21
8,27,3,6,6,6,,8,8,1,6行,方案21
8,27,3,,,,,1,1,1,7行,方案21
8,27,3,5,5,2,1,1,1,,0行,方案22
8,27,3,5,,2,2,2,1,,1行,方案22
8,27,3,5,5,3,6,2,1,8,2行,方案22
8,27,3,4,4,3,6,6,6,8,3行,方案22
8,27,3,4,3,3,6,7,8,8,4行,方案22
8,27,3,4,3,9,9,7,,0,5行,方案22
8,27,3,4,9,9,,7,0,0,6行,方案22
8,27,3,,,,,7,0,0,7行,方案22
8,27,3,7,3,3,3,2,2,,0行,方案23
8,27,3,7,,9,3,3,2,,1行,方案23
8,27,3,7,9,9,4,4,2,2,2行,方案23
8,27,3,7,9,6,4,1,1,1,3行,方案23
8,27,3,6,6,6,4,5,5,1,4行,方案23
8,27,3,0,0,6,4,5,,1,5行,方案23
8,27,3,0,0,0,,5,5,8,6行,方案23
8,27,3,,,,,8,8,8,7行,方案23
8,27,3,7,0,0,0,2,2,,0行,方案24
8,27,3,7,,0,0,2,9,,1行,方案24
8,27,3,7,6,4,2,2,9,9,2行,方案24
8,27,3,7,6,4,4,4,4,9,3行,方案24
8,27,3,6,6,6,3,3,5,5,4行,方案24
8,27,3,8,3,3,3,1,,5,5行,方案24
8,27,3,8,8,8,,1,5,5,6行,方案24
8,27,3,,,,,1,1,1,7行,方案24
8,27,3,4,4,0,0,2,2,,0行,方案25
8,27,3,4,,0,0,2,9,,1行,方案25
8,27,3,4,6,0,2,2,9,9,2行,方案25
8,27,3,4,6,7,7,7,7,9,3行,方案25
8,27,3,6,6,6,3,3,5,5,4行,方案25
8,27,3,8,3,3,3,1,,5,5行,方案25
8,27,3,8,8,8,,1,5,5,6行,方案25
8,27,3,,,,,1,1,1,7行,方案25
8,27,3,4,5,5,6,6,6,,0行,方案26
8,27,3,4,,5,7,6,0,,1行,方案26
8,27,3,4,5,5,7,6,0,0,2行,方案26
8,27,3,4,4,9,7,2,0,0,3行,方案26
8,27,3,1,9,9,7,2,2,2,4行,方案26
8,27,3,1,9,3,3,3,,2,5行,方案26
8,27,3,1,1,1,,3,3,8,6行,方案26
8,27,3,,,,,8,8,8,7行,方案26
8,27,3,7,4,4,4,4,8,,0行,方案27
8,27,3,7,,9,9,4,8,,1行,方案27
8,27,3,7,9,9,6,2,8,8,2行,方案27
8,27,3,7,6,6,6,2,2,2,3行,方案27
8,27,3,3,3,3,6,5,5,2,4行,方案27
8,27,3,0,0,3,3,5,,1,5行,方案27
8,27,3,0,0,0,,5,5,1,6行,方案27
8,27,3,,,,,1,1,1,7行,方案27
8,27,3,1,1,1,8,8,8,,0行,方案28
8,27,3,1,,5,8,5,9,,1行,方案28
8,27,3,1,3,5,5,5,9,9,2行,方案28
8,27,3,3,3,7,7,7,7,9,3行,方案28
8,27,3,3,6,2,4,4,4,4,4行,方案28
8,27,3,3,6,2,2,2,,4,5行,方案28
8,27,3,6,6,6,,2,0,0,6行,方案28
8,27,3,,,,,0,0,0,7行,方案28
8,27,3,7,3,3,3,2,2,,0行,方案29
8,27,3,7,,6,3,3,2,,1行,方案29
8,27,3,7,8,6,6,6,2,2,2行,方案29
8,27,3,7,8,6,4,4,4,4,3行,方案29
8,27,3,0,8,8,9,5,5,4,4行,方案29
8,27,3,0,0,9,9,5,,1,5行,方案29
8,27,3,0,0,9,,5,5,1,6行,方案29
8,27,3,,,,,1,1,1,7行,方案29
8,27,3,5,5,0,0,2,2,,0行,方案30
8,27,3,5,,0,0,0,2,,1行,方案30
8,27,3,5,5,7,3,3,2,2,2行,方案30
8,27,3,8,8,7,4,3,3,3,3行,方案30
8,27,3,8,6,7,4,4,4,4,4行,方案30
8,27,3,8,6,7,9,9,,1,5行,方案30
8,27,3,6,6,6,,9,9,1,6行,方案30
8,27,3,,,,,1,1,1,7行,方案30
8,27,3,1,1,1,5,5,8,,0行,方案31
8,27,3,1,,4,4,5,8,,1行,方案31
8,27,3,1,3,4,5,5,8,8,2行,方案31
8,27,3,3,3,4,2,2,9,7,3行,方案31
8,27,3,3,6,4,2,9,9,7,4行,方案31
8,27,3,3,6,2,2,9,,7,5行,方案31
8,27,3,6,6,6,,0,0,7,6行,方案31
8,27,3,,,,,0,0,0,7行,方案31
8,27,3,1,1,1,3,3,3,,0行,方案32
8,27,3,1,,3,3,9,9,,1行,方案32
8,27,3,1,4,4,9,9,2,2,2行,方案32
8,27,3,8,8,4,5,5,2,7,3行,方案32
8,27,3,8,6,4,5,2,2,7,4行,方案32
8,27,3,8,6,4,5,5,,7,5行,方案32
8,27,3,6,6,6,,0,0,7,6行,方案32
8,27,3,,,,,0,0,0,7行,方案32
8,27,3,5,5,5,2,2,9,,0行,方案33
8,27,3,5,,5,2,9,9,,1行,方案33
8,27,3,7,3,2,2,9,8,8,2行,方案33
8,27,3,7,3,3,1,1,1,8,3行,方案33
8,27,3,7,6,3,1,4,4,8,4行,方案33
8,27,3,7,6,3,1,4,,0,5行,方案33
8,27,3,6,6,6,,4,0,0,6行,方案33
8,27,3,,,,,4,0,0,7行,方案33
8,27,3,5,5,5,2,2,3,,0行,方案34
8,27,3,5,,5,2,8,3,,1行,方案34
8,27,3,7,9,2,2,8,3,3,2行,方案34
8,27,3,7,9,9,4,8,8,3,3行,方案34
8,27,3,7,6,9,4,4,4,4,4行,方案34
8,27,3,7,6,1,1,1,,0,5行,方案34
8,27,3,6,6,6,,1,0,0,6行,方案34
8,27,3,,,,,1,0,0,7行,方案34
8,27,3,5,5,5,2,2,3,,0行,方案35
8,27,3,5,,5,2,3,3,,1行,方案35
8,27,3,7,8,2,2,3,0,0,2行,方案35
8,27,3,7,8,8,8,3,0,0,3行,方案35
8,27,3,7,6,4,4,4,4,0,4行,方案35
8,27,3,7,6,4,9,9,,1,5行,方案35
8,27,3,6,6,6,,9,9,1,6行,方案35
8,27,3,,,,,1,1,1,7行,方案35
8,27,3,5,5,5,2,2,0,,0行,方案36
8,27,3,5,,5,2,0,0,,1行,方案36
8,27,3,7,3,2,2,0,0,8,2行,方案36
8,27,3,7,3,3,4,8,8,8,3行,方案36
8,27,3,7,6,3,4,4,4,4,4行,方案36
8,27,3,7,6,3,9,9,,1,5行,方案36
8,27,3,6,6,6,,9,9,1,6行,方案36
8,27,3,,,,,1,1,1,7行,方案36
8,27,3,4,4,4,4,2,8,,0行,方案37
8,27,3,4,,2,2,2,8,,1行,方案37
8,27,3,7,3,2,5,5,8,8,2行,方案37
8,27,3,7,3,3,5,0,0,0,3行,方案37
8,27,3,7,6,3,5,5,0,0,4行,方案37
8,27,3,7,6,3,9,9,,1,5行,方案37
8,27,3,6,6,6,,9,9,1,6行,方案37
8,27,3,,,,,1,1,1,7行,方案37
8,27,3,5,5,7,7,7,7,,0行,方案38
8,27,3,5,,6,3,3,3,,1行,方案38
8,27,3,5,5,6,6,6,3,3,2行,方案38
8,27,3,4,4,6,2,0,0,0,3行,方案38
8,27,3,4,2,2,2,8,0,0,4行,方案38
8,27,3,4,2,9,9,8,,1,5行,方案38
8,27,3,4,9,9,,8,8,1,6行,方案38
8,27,3,,,,,1,1,1,7行,方案38
8,27,3,7,0,0,0,2,2,,0行,方案39
8,27,3,7,,0,0,2,9,,1行,方案39
8,27,3,7,4,3,2,2,9,9,2行,方案39
8,27,3,7,4,3,6,6,6,9,3行,方案39
8,27,3,1,4,3,3,6,5,5,4行,方案39
8,27,3,1,4,4,3,6,,5,5行,方案39
8,27,3,1,1,1,,8,5,5,6行,方案39
8,27,3,,,,,8,8,8,7行,方案39
8,27,3,7,4,4,4,4,6,,0行,方案40
8,27,3,7,,5,5,4,6,,1行,方案40
8,27,3,7,2,2,5,6,6,6,2行,方案40
8,27,3,7,2,5,5,0,0,0,3行,方案40
8,27,3,2,2,3,3,3,0,0,4行,方案40
8,27,3,8,3,3,9,9,,1,5行,方案40
8,27,3,8,8,8,,9,9,1,6行,方案40
8,27,3,,,,,1,1,1,7行,方案40
8,27,3,5,5,4,4,4,4,,0行,方案41
8,27,3,5,,2,2,6,4,,1行,方案41
8,27,3,5,5,2,3,6,6,6,2行,方案41
8,27,3,7,2,2,3,6,0,0,3行,方案41
8,27,3,7,8,3,3,0,0,0,4行,方案41
8,27,3,7,8,3,9,9,,1,5行,方案41
8,27,3,7,8,8,,9,9,1,6行,方案41
8,27,3,,,,,1,1,1,7行,方案41
8,27,3,5,5,5,2,2,0,,0行,方案42
8,27,3,5,,5,2,0,0,,1行,方案42
8,27,3,4,4,2,2,0,0,6,2行,方案42
8,27,3,7,4,3,3,6,6,6,3行,方案42
8,27,3,7,4,8,3,3,3,6,4行,方案42
8,27,3,7,4,8,9,9,,1,5行,方案42
8,27,3,7,8,8,,9,9,1,6行,方案42
8,27,3,,,,,1,1,1,7行,方案42
8,27,3,5,5,5,6,6,6,,0行,方案43
8,27,3,5,,5,2,6,3,,1行,方案43
8,27,3,7,2,2,2,6,3,3,2行,方案43
8,27,3,7,2,4,4,0,0,3,3行,方案43
8,27,3,7,8,4,0,0,0,3,4行,方案43
8,27,3,7,8,4,9,9,,1,5行,方案43
8,27,3,8,8,4,,9,9,1,6行,方案43
8,27,3,,,,,1,1,1,7行,方案43
8,27,3,5,5,0,0,2,2,,0行,方案44
8,27,3,5,,0,0,6,2,,1行,方案44
8,27,3,5,5,3,0,6,2,2,2行,方案44
8,27,3,7,3,3,6,6,6,4,3行,方案44
8,27,3,7,3,8,4,4,4,4,4行,方案44
8,27,3,7,3,8,9,9,,1,5行,方案44
8,27,3,7,8,8,,9,9,1,6行,方案44
8,27,3,,,,,1,1,1,7行,方案44
8,27,3,8,8,6,5,5,5,,0行,方案45
8,27,3,8,,6,5,2,5,,1行,方案45
8,27,3,8,6,6,6,2,2,2,2行,方案45
8,27,3,4,4,4,4,9,9,2,3行,方案45
8,27,3,4,7,7,7,7,9,9,4行,方案45
8,27,3,0,0,3,3,3,,1,5行,方案45
8,27,3,0,0,0,,3,3,1,6行,方案45
8,27,3,,,,,1,1,1,7行,方案45
8,27,3,7,7,7,7,5,5,,0行,方案46
8,27,3,2,,6,6,6,5,,1行,方案46
8,27,3,2,2,2,6,5,5,8,2行,方案46
8,27,3,9,9,2,6,8,8,8,3行,方案46
8,27,3,1,9,9,3,3,4,4,4行,方案46
8,27,3,1,3,3,3,0,,4,5行,方案46
8,27,3,1,1,1,,0,0,4,6行,方案46
8,27,3,,,,,0,0,4,7行,方案46
8,27,3,4,4,1,1,1,2,,0行,方案47
8,27,3,4,,1,2,2,2,,1行,方案47
8,27,3,4,6,1,2,5,5,5,2行,方案47
8,27,3,4,6,9,9,5,3,5,3行,方案47
8,27,3,6,6,6,9,9,3,3,4行,方案47
8,27,3,8,7,7,7,7,,3,5行,方案47
8,27,3,8,8,8,,0,0,3,6行,方案47
8,27,3,,,,,0,0,0,7行,方案47
8,27,3,5,5,9,9,2,2,,0行,方案48
8,27,3,5,,6,9,9,2,,1行,方案48
8,27,3,5,5,6,3,3,2,2,2行,方案48
8,27,3,4,6,6,6,3,3,3,3行,方案48
8,27,3,4,4,4,4,1,1,1,4行,方案48
8,27,3,8,7,7,7,7,,1,5行,方案48
8,27,3,8,8,8,,0,0,1,6行,方案48
8,27,3,,,,,0,0,0,7行,方案48
8,27,3,4,4,5,5,5,6,,0行,方案49
8,27,3,4,,5,2,5,6,,1行,方案49
8,27,3,4,2,2,2,6,6,6,2行,方案49
8,27,3,4,2,3,3,3,9,9,3行,方案49
8,27,3,1,3,3,8,9,9,7,4行,方案49
8,27,3,1,8,8,8,0,,7,5行,方案49
8,27,3,1,1,1,,0,0,7,6行,方案49
8,27,3,,,,,0,0,7,7行,方案49
8,27,3,4,4,5,5,5,6,,0行,方案50
8,27,3,4,,5,2,5,6,,1行,方案50
8,27,3,4,2,2,2,6,6,6,2行,方案50
8,27,3,4,2,9,9,3,3,3,3行,方案50
8,27,3,1,9,9,3,3,8,8,4行,方案50
8,27,3,1,7,7,7,7,,8,5行,方案50
8,27,3,1,1,1,,0,0,8,6行,方案50
8,27,3,,,,,0,0,0,7行,方案50
8,27,3,4,4,9,9,5,5,,0行,方案51
8,27,3,4,,3,9,9,5,,1行,方案51
8,27,3,4,3,3,2,5,5,7,2行,方案51
8,27,3,4,3,6,2,2,2,7,3行,方案51
8,27,3,1,3,6,8,8,2,7,4行,方案51
8,27,3,1,6,6,6,8,,7,5行,方案51
8,27,3,1,1,1,,8,0,0,6行,方案51
8,27,3,,,,,0,0,0,7行,方案51
8,27,3,4,4,0,0,0,3,,0行,方案52
8,27,3,4,,0,0,6,3,,1行,方案52
8,27,3,4,7,6,6,6,3,3,2行,方案52
8,27,3,4,7,5,5,6,9,3,3行,方案52
8,27,3,1,7,5,2,2,9,9,4行,方案52
8,27,3,1,7,5,5,2,,9,5行,方案52
8,27,3,1,1,1,,2,2,8,6行,方案52
8,27,3,,,,,8,8,8,7行,方案52
8,27,3,5,5,0,0,0,7,,0行,方案53
8,27,3,5,,0,0,6,7,,1行,方案53
8,27,3,5,5,6,6,6,7,8,2行,方案53
8,27,3,4,4,4,4,6,7,8,3行,方案53
8,27,3,4,9,9,2,2,8,8,4行,方案53
8,27,3,9,9,3,3,2,,1,5行,方案53
8,27,3,3,3,3,,2,2,1,6行,方案53
8,27,3,,,,,1,1,1,7行,方案53
8,27,3,5,5,5,0,0,0,,0行,方案54
8,27,3,5,,5,0,0,9,,1行,方案54
8,27,3,7,4,4,4,4,9,9,2行,方案54
8,27,3,7,4,8,3,3,3,9,3行,方案54
8,27,3,7,6,8,2,2,3,3,4行,方案54
8,27,3,7,6,8,8,2,,1,5行,方案54
8,27,3,6,6,6,,2,2,1,6行,方案54
8,27,3,,,,,1,1,1,7行,方案54
8,27,3,8,8,8,0,0,3,,0行,方案55
8,27,3,8,,0,0,0,3,,1行,方案55
8,27,3,7,4,4,4,4,3,3,2行,方案55
8,27,3,7,4,5,5,9,9,3,3行,方案55
8,27,3,7,6,5,2,2,9,9,4行,方案55
8,27,3,7,6,5,5,2,,1,5行,方案55
8,27,3,6,6,6,,2,2,1,6行,方案55
8,27,3,,,,,1,1,1,7行,方案55
8,27,3,4,4,2,2,0,0,,0行,方案56
8,27,3,4,,2,0,0,0,,1行,方案56
8,27,3,4,2,2,7,7,7,7,2行,方案56
8,27,3,4,5,5,3,3,3,6,3行,方案56
8,27,3,1,5,3,3,6,6,6,4行,方案56
8,27,3,1,5,5,9,9,,6,5行,方案56
8,27,3,1,1,1,,9,9,8,6行,方案56
8,27,3,,,,,8,8,8,7行,方案56
8,27,3,7,7,7,7,0,0,,0行,方案57
8,27,3,5,,5,0,0,0,,1行,方案57
8,27,3,5,5,5,3,6,6,6,2行,方案57
8,27,3,2,2,9,3,3,6,4,3行,方案57
8,27,3,1,2,9,9,3,6,4,4行,方案57
8,27,3,1,2,2,9,3,,4,5行,方案57
8,27,3,1,1,1,,8,4,4,6行,方案57
8,27,3,,,,,8,8,8,7行,方案57
8,27,3,5,5,5,0,0,0,,0行,方案58
8,27,3,5,,5,4,0,0,,1行,方案58
8,27,3,1,1,1,4,4,4,4,2行,方案58
8,27,3,1,3,7,7,7,7,6,3行,方案58
8,27,3,1,3,2,2,6,6,6,4行,方案58
8,27,3,3,3,2,9,9,,6,5行,方案58
8,27,3,3,2,2,,9,9,8,6行,方案58
8,27,3,,,,,8,8,8,7行,方案58
8,27,3,4,4,4,4,0,0,,0行,方案59
8,27,3,4,,8,0,0,0,,1行,方案59
8,27,3,8,8,8,3,3,3,2,2行,方案59
8,27,3,7,6,3,3,2,2,2,3行,方案59
8,27,3,7,6,6,6,2,5,5,4行,方案59
8,27,3,7,6,9,9,1,,5,5行,方案59
8,27,3,7,9,9,,1,5,5,6行,方案59
8,27,3,,,,,1,1,1,7行,方案59
8,27,3,5,5,7,0,0,0,,0行,方案60
8,27,3,5,,7,4,0,0,,1行,方案60
8,27,3,5,5,7,4,4,4,4,2行,方案60
8,27,3,2,2,7,3,3,3,6,3行,方案60
8,27,3,1,2,3,3,6,6,6,4行,方案60
8,27,3,1,2,2,9,9,,6,5行,方案60
8,27,3,1,1,1,,9,9,8,6行,方案60
8,27,3,,,,,8,8,8,7行,方案60
8,27,3,5,5,7,7,7,7,,0行,方案61
8,27,3,5,,0,0,9,9,,1行,方案61
8,27,3,5,5,0,0,2,9,9,2行,方案61
8,27,3,8,8,4,0,2,2,2,3行,方案61
8,27,3,8,6,4,4,4,4,2,4行,方案61
8,27,3,8,6,3,3,3,,1,5行,方案61
8,27,3,6,6,6,,3,3,1,6行,方案61
8,27,3,,,,,1,1,1,7行,方案61
8,27,3,8,8,7,7,7,7,,0行,方案62
8,27,3,8,,4,4,4,4,,1行,方案62
8,27,3,8,3,0,0,0,4,6,2行,方案62
8,27,3,3,3,0,0,6,6,6,3行,方案62
8,27,3,3,2,2,9,5,5,6,4行,方案62
8,27,3,3,2,9,9,5,,1,5行,方案62
8,27,3,2,2,9,,5,5,1,6行,方案62
8,27,3,,,,,1,1,1,7行,方案62
8,27,3,5,5,7,7,7,7,,0行,方案63
8,27,3,5,,4,3,3,3,,1行,方案63
8,27,3,5,5,4,0,0,3,3,2行,方案63
8,27,3,2,2,4,0,0,0,6,3行,方案63
8,27,3,1,2,4,4,6,6,6,4行,方案63
8,27,3,1,2,2,9,9,,6,5行,方案63
8,27,3,1,1,1,,9,9,8,6行,方案63
8,27,3,,,,,8,8,8,7行,方案63
8,27,3,4,4,4,4,8,6,,0行,方案64
8,27,3,4,,8,8,8,6,,1行,方案64
8,27,3,7,7,7,7,6,6,6,2行,方案64
8,27,3,5,5,9,9,0,0,0,3行,方案64
8,27,3,5,9,9,2,2,0,0,4行,方案64
8,27,3,5,5,3,3,2,,1,5行,方案64
8,27,3,3,3,3,,2,2,1,6行,方案64
8,27,3,,,,,1,1,1,7行,方案64
8,27,3,5,5,7,7,7,7,,0行,方案65
8,27,3,5,,6,6,6,0,,1行,方案65
8,27,3,5,5,3,6,0,0,8,2行,方案65
8,27,3,4,4,3,6,0,0,8,3行,方案65
8,27,3,4,3,3,2,2,8,8,4行,方案65
8,27,3,4,3,9,9,2,,1,5行,方案65
8,27,3,4,9,9,,2,2,1,6行,方案65
8,27,3,,,,,1,1,1,7行,方案65
8,27,3,7,7,7,7,8,8,,0行,方案66
8,27,3,5,,5,6,8,9,,1行,方案66
8,27,3,5,5,5,6,8,9,9,2行,方案66
8,27,3,4,4,6,6,6,3,9,3行,方案66
8,27,3,4,1,1,1,2,3,3,4行,方案66
8,27,3,4,1,2,2,2,,3,5行,方案66
8,27,3,4,1,2,,0,0,3,6行,方案66
8,27,3,,,,,0,0,0,7行,方案66
8,27,3,1,1,1,8,8,8,,0行,方案67
8,27,3,1,,3,3,3,8,,1行,方案67
8,27,3,1,3,3,2,2,9,9,2行,方案67
8,27,3,7,4,4,2,9,9,6,3行,方案67
8,27,3,7,4,2,2,6,6,6,4行,方案67
8,27,3,7,4,5,5,5,,6,5行,方案67
8,27,3,7,4,5,,5,0,0,6行,方案67
8,27,3,,,,,0,0,0,7行,方案67
8,27,3,5,5,8,1,1,1,,0行,方案68
8,27,3,5,,8,8,8,1,,1行,方案68
8,27,3,5,5,3,2,2,1,6,2行,方案68
